session_date,side,entry_time,exit_time,entry_price,exit_price,stop,target,exit_reason,pnl_pts,risk_pts,r_multiple
2025-05-06,PE,2025-05-06T10:05:00+05:30,2025-05-06T15:10:00+05:30,24395.1,24387.65,24424.61909608683,24341.9656270437,EOD_SQUARE_OFF,7.45,29.52,0.25
2025-05-08,PE,2025-05-08T09:30:00+05:30,2025-05-08T10:20:00+05:30,24381.8,24406.990943437268,24406.990943437268,24336.456301812916,STOP_HIT,-25.19,25.19,-1.0
2025-05-16,PE,2025-05-16T09:50:00+05:30,2025-05-16T10:00:00+05:30,24979.15,25024.855036170313,25024.855036170313,24896.88093489344,STOP_HIT,-45.71,45.71,-1.0
2025-05-19,PE,2025-05-19T14:00:00+05:30,2025-05-19T15:10:00+05:30,24949.5,24945.65,24969.721038703166,24913.1021303343,EOD_SQUARE_OFF,3.85,20.22,0.19
2025-05-20,PE,2025-05-20T09:25:00+05:30,2025-05-20T09:50:00+05:30,24935.65,24884.430753427732,24964.105136984595,24884.430753427732,TARGET_HIT,51.22,28.46,1.8
2025-05-21,CE,2025-05-21T09:30:00+05:30,2025-05-21T09:45:00+05:30,24771.75,24834.886443679738,24736.6741979557,24834.886443679738,TARGET_HIT,63.14,35.08,1.8
2025-05-28,PE,2025-05-28T10:15:00+05:30,2025-05-28T10:45:00+05:30,24753.85,24792.055874160134,24792.055874160134,24685.079426511755,STOP_HIT,-38.21,38.21,-1.0
2025-05-29,PE,2025-05-29T09:50:00+05:30,2025-05-29T10:00:00+05:30,24793.55,24824.054917734247,24824.054917734247,24738.641148078354,STOP_HIT,-30.5,30.5,-1.0
2025-05-30,PE,2025-05-30T10:15:00+05:30,2025-05-30T13:55:00+05:30,24767.3,24800.454599818913,24800.454599818913,24707.621720325955,STOP_HIT,-33.15,33.15,-1.0
2025-06-04,PE,2025-06-04T09:35:00+05:30,2025-06-04T10:00:00+05:30,24554.6,24585.54937000327,24585.54937000327,24498.891133994108,STOP_HIT,-30.95,30.95,-1.0
2025-06-04,CE,2025-06-04T13:00:00+05:30,2025-06-04T13:10:00+05:30,24613.9,24599.187697175952,24599.187697175952,24640.38214508329,STOP_HIT,-14.71,14.71,-1.0
2025-06-05,CE,2025-06-05T09:25:00+05:30,2025-06-05T12:00:00+05:30,24715.5,24762.374382738657,24689.4586762563,24762.374382738657,TARGET_HIT,46.87,26.04,1.8
2025-06-06,PE,2025-06-06T09:35:00+05:30,2025-06-06T10:05:00+05:30,24694.35,24724.40900398709,24724.40900398709,24640.243792823236,STOP_HIT,-30.06,30.06,-1.0
2025-06-06,CE,2025-06-06T10:20:00+05:30,2025-06-06T10:30:00+05:30,24788.85,24866.44958980784,24745.73911677342,24866.44958980784,TARGET_HIT,77.6,43.11,1.8
2025-06-10,PE,2025-06-10T09:25:00+05:30,2025-06-10T09:30:00+05:30,25089.25,25112.150352264056,25112.150352264056,25048.0293659247,STOP_HIT,-22.9,22.9,-1.0
2025-06-11,CE,2025-06-11T09:55:00+05:30,2025-06-11T10:45:00+05:30,25145.7,25181.64280521569,25125.731774880172,25181.64280521569,TARGET_HIT,35.94,19.97,1.8
2025-06-12,CE,2025-06-12T09:30:00+05:30,2025-06-12T09:35:00+05:30,25189.05,25168.57221753851,25168.57221753851,25225.91000843068,STOP_HIT,-20.48,20.48,-1.0
