timestamp,open,high,low,close,volume,vwap,session_date,vwap_source
2025-11-06 09:15:00+05:30,25593.35,25671.45,25587.2,25666.7,0.0,25641.783333333336,2025-11-06,twap_proxy
2025-11-06 09:20:00+05:30,25664.1,25679.15,25651.35,25659.8,0.0,25652.608333333337,2025-11-06,twap_proxy
2025-11-06 09:25:00+05:30,25659.85,25659.85,25619.9,25626.6,0.0,25646.88888888889,2025-11-06,twap_proxy
2025-11-06 09:30:00+05:30,25625.6,25629.85,25609.4,25627.75,0.0,25640.75,2025-11-06,twap_proxy
2025-11-06 09:35:00+05:30,25628.4,25632.85,25610.25,25628.9,0.0,25637.4,2025-11-06,twap_proxy
2025-11-06 09:40:00+05:30,25629.3,25629.95,25600.1,25610.0,0.0,25633.391666666666,2025-11-06,twap_proxy
2025-11-06 09:45:00+05:30,25610.05,25621.8,25601.55,25601.65,0.0,25629.811904761907,2025-11-06,twap_proxy
2025-11-06 09:50:00+05:30,25601.35,25629.85,25599.3,25628.2,0.0,25628.475000000002,2025-11-06,twap_proxy
2025-11-06 09:55:00+05:30,25631.05,25633.9,25614.85,25628.95,0.0,25628.18888888889,2025-11-06,twap_proxy
2025-11-06 10:00:00+05:30,25629.3,25639.7,25613.75,25614.35,0.0,25627.63,2025-11-06,twap_proxy
2025-11-06 10:05:00+05:30,25613.8,25617.2,25570.6,25572.2,0.0,25623.906060606063,2025-11-06,twap_proxy
2025-11-06 10:10:00+05:30,25571.2,25571.3,25542.35,25542.75,0.0,25617.925,2025-11-06,twap_proxy
2025-11-06 10:15:00+05:30,25542.9,25545.6,25533.7,25536.75,0.0,25611.829487179486,2025-11-06,twap_proxy
2025-11-06 10:20:00+05:30,25537.95,25550.3,25531.55,25540.65,0.0,25606.75833333333,2025-11-06,twap_proxy
2025-11-06 10:25:00+05:30,25540.5,25546.75,25534.85,25536.95,0.0,25602.275555555552,2025-11-06,twap_proxy
2025-11-06 10:30:00+05:30,25537.7,25545.0,25529.9,25531.9,0.0,25598.10833333333,2025-11-06,twap_proxy
2025-11-06 10:35:00+05:30,25531.9,25537.15,25522.05,25524.4,0.0,25593.976470588233,2025-11-06,twap_proxy
2025-11-06 10:40:00+05:30,25524.05,25536.05,25520.75,25536.05,0.0,25590.475,2025-11-06,twap_proxy
2025-11-06 10:45:00+05:30,25536.6,25545.95,25533.7,25540.15,0.0,25587.8149122807,2025-11-06,twap_proxy
2025-11-06 10:50:00+05:30,25539.75,25560.05,25538.85,25560.05,0.0,25586.073333333334,2025-11-06,twap_proxy
2025-11-06 10:55:00+05:30,25559.75,25565.1,25554.05,25562.5,0.0,25584.85793650794,2025-11-06,twap_proxy
2025-11-06 11:00:00+05:30,25562.95,25573.4,25560.95,25572.7,0.0,25584.137878787882,2025-11-06,twap_proxy
2025-11-06 11:05:00+05:30,25573.15,25575.25,25557.65,25559.2,0.0,25583.263768115947,2025-11-06,twap_proxy
2025-11-06 11:10:00+05:30,25559.85,25567.8,25553.85,25560.5,0.0,25582.32430555556,2025-11-06,twap_proxy
2025-11-06 11:15:00+05:30,25560.7,25561.15,25541.65,25544.15,0.0,25580.990666666672,2025-11-06,twap_proxy
2025-11-06 11:20:00+05:30,25543.6,25546.1,25535.0,25535.45,0.0,25579.36987179488,2025-11-06,twap_proxy
2025-11-06 11:25:00+05:30,25535.8,25544.0,25534.0,25543.0,0.0,25577.924074074082,2025-11-06,twap_proxy
2025-11-06 11:30:00+05:30,25542.9,25547.55,25527.8,25530.35,0.0,25576.39940476191,2025-11-06,twap_proxy
2025-11-06 11:35:00+05:30,25530.85,25534.7,25525.0,25531.15,0.0,25574.809195402304,2025-11-06,twap_proxy
2025-11-06 11:40:00+05:30,25531.1,25538.4,25529.95,25531.95,0.0,25573.430000000004,2025-11-06,twap_proxy
2025-11-06 11:45:00+05:30,25531.1,25554.1,25529.95,25551.6,0.0,25572.519892473123,2025-11-06,twap_proxy
