timestamp,open,high,low,close,volume,vwap,session_date
2026-05-26 09:15:00+05:30,24004.1,24020.75,23965.7,24012.55,0.0,24008.216666666667,2026-05-26
2026-05-26 09:20:00+05:30,24011.55,24026.45,24011.4,24020.6,0.0,24015.413808267367,2026-05-26
2026-05-26 09:25:00+05:30,24020.95,24041.25,24013.75,24034.1,0.0,24012.24096749811,2026-05-26
2026-05-26 09:30:00+05:30,24034.4,24041.55,24029.8,24030.2,0.0,24015.74299262925,2026-05-26
2026-05-26 09:35:00+05:30,24030.3,24072.65,24018.95,24069.4,0.0,24016.063336655043,2026-05-26
2026-05-26 09:40:00+05:30,24069.2,24077.2,24052.95,24062.3,0.0,24021.87836963554,2026-05-26
2026-05-26 09:45:00+05:30,24062.4,24065.7,24050.6,24051.75,0.0,24022.14018338727,2026-05-26
2026-05-26 09:50:00+05:30,24051.8,24057.5,24035.9,24035.9,0.0,24029.202612370344,2026-05-26
2026-05-26 09:55:00+05:30,24034.2,24037.55,24014.55,24028.75,0.0,24027.787971552258,2026-05-26
2026-05-26 10:00:00+05:30,24029.75,24054.4,24021.2,24048.75,0.0,24022.47794416038,2026-05-26
2026-05-26 10:05:00+05:30,24049.25,24051.65,24032.9,24048.3,0.0,24027.34986483676,2026-05-26
2026-05-26 10:10:00+05:30,24048.1,24064.1,24048.1,24063.0,0.0,24029.048574015393,2026-05-26
2026-05-26 10:15:00+05:30,24063.05,24065.7,24050.45,24052.95,0.0,24038.000679318524,2026-05-26
2026-05-26 10:20:00+05:30,24052.9,24072.65,24045.2,24071.8,0.0,24041.11692128007,2026-05-26
2026-05-26 10:25:00+05:30,24072.0,24076.15,24069.45,24071.4,0.0,24042.214984585615,2026-05-26
2026-05-26 10:30:00+05:30,24070.0,24079.25,24066.85,24078.3,0.0,24045.849977173413,2026-05-26
2026-05-26 10:35:00+05:30,24078.65,24089.8,24077.25,24085.0,0.0,24041.747519729422,2026-05-26
2026-05-26 10:40:00+05:30,24084.85,24086.05,24071.55,24073.15,0.0,24042.55566171698,2026-05-26
2026-05-26 10:45:00+05:30,24073.95,24076.65,24067.65,24070.15,0.0,24039.88629930834,2026-05-26
2026-05-26 10:50:00+05:30,24070.0,24082.65,24065.3,24078.1,0.0,24039.79441129441,2026-05-26
2026-05-26 10:55:00+05:30,24077.45,24081.4,24071.35,24071.85,0.0,24041.065818054532,2026-05-26
2026-05-26 11:00:00+05:30,24070.7,24082.65,24070.7,24075.75,0.0,24043.71977544604,2026-05-26
2026-05-26 11:05:00+05:30,24075.35,24077.7,24065.45,24074.95,0.0,24049.957240586693,2026-05-26
2026-05-26 11:10:00+05:30,24074.8,24078.85,24067.45,24069.3,0.0,24045.760935054775,2026-05-26
2026-05-26 11:15:00+05:30,24068.85,24070.35,24055.05,24067.8,0.0,24049.13819865147,2026-05-26
2026-05-26 11:20:00+05:30,24068.0,24070.75,24048.9,24050.6,0.0,24052.106142786313,2026-05-26
2026-05-26 11:25:00+05:30,24050.7,24061.2,24044.8,24044.8,0.0,24051.3111991421,2026-05-26
2026-05-26 11:30:00+05:30,24044.95,24049.35,24026.2,24047.35,0.0,24039.855160740568,2026-05-26
2026-05-26 11:35:00+05:30,24047.45,24070.85,24047.45,24069.95,0.0,24048.015595771263,2026-05-26
2026-05-26 11:40:00+05:30,24070.15,24071.9,24060.45,24063.15,0.0,24049.844874430244,2026-05-26
2026-05-26 11:45:00+05:30,24062.35,24066.95,24052.25,24057.95,0.0,24042.179739892064,2026-05-26
2026-05-26 11:50:00+05:30,24058.05,24060.9,24051.9,24055.4,0.0,24046.843849908928,2026-05-26
2026-05-26 11:55:00+05:30,24055.95,24061.55,24032.6,24039.95,0.0,24048.14143541007,2026-05-26
2026-05-26 12:00:00+05:30,24040.2,24043.1,24018.5,24037.0,0.0,24046.571881726984,2026-05-26
2026-05-26 12:05:00+05:30,24037.15,24043.65,24028.05,24029.0,0.0,24044.926601377447,2026-05-26
2026-05-26 12:10:00+05:30,24028.95,24033.85,24019.8,24022.1,0.0,24042.929102802296,2026-05-26
2026-05-26 12:15:00+05:30,24022.3,24037.45,24019.0,24033.9,0.0,24040.68669800645,2026-05-26
2026-05-26 12:20:00+05:30,24033.95,24040.8,24028.1,24029.1,0.0,24037.787222263058,2026-05-26
2026-05-26 12:25:00+05:30,24029.05,24032.1,24017.45,24021.9,0.0,24041.645278579836,2026-05-26
2026-05-26 12:30:00+05:30,24021.85,24036.4,24020.05,24022.75,0.0,24039.01795792982,2026-05-26
2026-05-26 12:35:00+05:30,24021.9,24026.3,24013.55,24021.85,0.0,24040.373758224527,2026-05-26
2026-05-26 12:40:00+05:30,24022.65,24025.35,24006.05,24010.15,0.0,24038.492775987514,2026-05-26
2026-05-26 12:45:00+05:30,24010.0,24012.3,23985.3,23997.6,0.0,24043.790641204,2026-05-26
2026-05-26 12:50:00+05:30,23997.7,23999.95,23971.6,23997.5,0.0,24043.201202434862,2026-05-26
2026-05-26 12:55:00+05:30,23997.0,24002.0,23987.7,23998.55,0.0,24045.890793641483,2026-05-26
2026-05-26 13:00:00+05:30,23998.65,24001.95,23966.2,23971.25,0.0,24040.469807320664,2026-05-26
2026-05-26 13:05:00+05:30,23971.3,23981.05,23968.2,23972.45,0.0,24037.158326185803,2026-05-26
2026-05-26 13:10:00+05:30,23973.2,23984.8,23970.1,23974.35,0.0,24039.916406827982,2026-05-26
2026-05-26 13:15:00+05:30,23974.9,23982.7,23958.55,23982.1,0.0,24034.464845721872,2026-05-26
2026-05-26 13:20:00+05:30,23981.45,23988.15,23974.45,23976.1,0.0,24030.50183096289,2026-05-26
2026-05-26 13:25:00+05:30,23974.75,23991.25,23971.6,23987.5,0.0,24039.149065452264,2026-05-26
2026-05-26 13:30:00+05:30,23987.45,23999.25,23978.05,23982.45,0.0,24032.999229268135,2026-05-26
2026-05-26 13:35:00+05:30,23982.05,23985.65,23972.2,23974.6,0.0,24026.216083751384,2026-05-26
2026-05-26 13:40:00+05:30,23974.55,23980.85,23957.4,23958.5,0.0,24028.91053839164,2026-05-26
2026-05-26 13:45:00+05:30,23957.2,23970.1,23954.95,23961.45,0.0,24034.44157305836,2026-05-26
2026-05-26 13:50:00+05:30,23961.4,23963.0,23939.15,23949.6,0.0,24022.520188715494,2026-05-26
2026-05-26 13:55:00+05:30,23949.8,23953.15,23934.1,23937.2,0.0,24019.5590404296,2026-05-26
2026-05-26 14:00:00+05:30,23937.35,23938.85,23911.15,23917.1,0.0,24008.824431228546,2026-05-26
2026-05-26 14:05:00+05:30,23916.5,23940.1,23911.4,23925.9,0.0,24002.75268856993,2026-05-26
2026-05-26 14:10:00+05:30,23926.45,23927.55,23909.8,23924.2,0.0,24006.013842564924,2026-05-26
2026-05-26 14:15:00+05:30,23924.25,23927.7,23914.45,23924.45,0.0,24006.83539347154,2026-05-26
2026-05-26 14:20:00+05:30,23925.15,23937.35,23921.15,23934.65,0.0,24008.259922593676,2026-05-26
2026-05-26 14:25:00+05:30,23934.45,23940.7,23907.1,23922.6,0.0,24004.026764959697,2026-05-26
2026-05-26 14:30:00+05:30,23923.0,23934.0,23918.3,23924.2,0.0,24000.91390473087,2026-05-26
2026-05-26 14:35:00+05:30,23924.0,23927.65,23898.35,23904.75,0.0,23998.098218074203,2026-05-26
2026-05-26 14:40:00+05:30,23904.7,23907.2,23895.3,23898.2,0.0,23987.94359261462,2026-05-26
2026-05-26 14:45:00+05:30,23898.1,23903.0,23893.2,23896.2,0.0,23983.715861815763,2026-05-26
2026-05-26 14:50:00+05:30,23895.9,23899.05,23885.45,23889.45,0.0,23989.08076897196,2026-05-26
2026-05-26 14:55:00+05:30,23888.95,23918.75,23887.85,23913.05,0.0,23988.513632919316,2026-05-26
2026-05-26 15:00:00+05:30,23913.5,23923.25,23896.4,23909.75,0.0,23992.214670585156,2026-05-26
2026-05-26 15:05:00+05:30,23907.6,23931.05,23897.1,23928.65,0.0,23995.945919430007,2026-05-26
2026-05-26 15:10:00+05:30,23925.75,23929.65,23903.6,23908.8,0.0,23979.916338602394,2026-05-26
2026-05-26 15:15:00+05:30,23907.7,23917.2,23907.15,23911.05,0.0,23976.40942185037,2026-05-26
2026-05-26 15:20:00+05:30,23911.7,23920.1,23910.4,23918.0,0.0,23978.76578053234,2026-05-26
2026-05-26 15:25:00+05:30,23917.3,23940.05,23913.6,23933.75,0.0,23973.707274295313,2026-05-26
