timestamp,open,high,low,close,volume
2026-06-09T09:15:00+05:30,23259.05,23259.45,23194.9,23235.15,0
2026-06-09T09:20:00+05:30,23233.3,23244.35,23223.0,23237.9,0
2026-06-09T09:25:00+05:30,23237.3,23241.55,23222.5,23225.05,0
2026-06-09T09:30:00+05:30,23224.9,23252.05,23224.9,23239.5,0
2026-06-09T09:35:00+05:30,23239.3,23243.95,23209.0,23213.05,0
2026-06-09T09:40:00+05:30,23212.35,23221.0,23196.4,23196.8,0
2026-06-09T09:45:00+05:30,23196.6,23218.15,23180.55,23184.9,0
2026-06-09T09:50:00+05:30,23184.75,23216.7,23182.45,23212.95,0
2026-06-09T09:55:00+05:30,23212.05,23212.5,23183.05,23188.35,0
2026-06-09T10:00:00+05:30,23188.75,23192.9,23165.85,23168.25,0
2026-06-09T10:05:00+05:30,23167.85,23176.5,23160.55,23171.05,0
2026-06-09T10:10:00+05:30,23171.5,23173.2,23160.5,23167.75,0
2026-06-09T10:15:00+05:30,23167.75,23177.35,23162.2,23170.0,0
2026-06-09T10:20:00+05:30,23169.65,23170.75,23148.7,23158.15,0
2026-06-09T10:25:00+05:30,23158.1,23168.1,23154.05,23162.35,0
2026-06-09T10:30:00+05:30,23162.5,23166.4,23153.25,23158.3,0
2026-06-09T10:35:00+05:30,23157.7,23158.65,23147.7,23151.6,0
2026-06-09T10:40:00+05:30,23151.65,23165.3,23146.9,23164.55,0
2026-06-09T10:45:00+05:30,23163.95,23168.05,23131.4,23132.2,0
2026-06-09T10:50:00+05:30,23132.15,23157.05,23129.1,23155.2,0
2026-06-09T10:55:00+05:30,23155.1,23160.15,23146.35,23154.55,0
2026-06-09T11:00:00+05:30,23153.8,23156.85,23149.6,23154.85,0
2026-06-09T11:05:00+05:30,23154.25,23161.9,23148.9,23151.4,0
2026-06-09T11:10:00+05:30,23150.95,23152.6,23142.5,23146.0,0
2026-06-09T11:15:00+05:30,23144.8,23158.55,23139.9,23154.85,0
2026-06-09T11:20:00+05:30,23154.9,23155.35,23109.45,23113.1,0
2026-06-09T11:25:00+05:30,23112.8,23139.6,23104.45,23132.15,0
2026-06-09T11:30:00+05:30,23131.25,23139.8,23126.1,23137.4,0
2026-06-09T11:35:00+05:30,23138.5,23159.25,23137.75,23157.65,0
2026-06-09T11:40:00+05:30,23157.05,23160.65,23133.25,23150.85,0
2026-06-09T11:45:00+05:30,23150.6,23196.2,23145.45,23174.65,0
2026-06-09T11:50:00+05:30,23174.45,23187.55,23166.75,23174.6,0
2026-06-09T11:55:00+05:30,23174.25,23184.95,23171.55,23181.2,0
2026-06-09T12:00:00+05:30,23181.3,23204.5,23179.4,23185.1,0
2026-06-09T12:05:00+05:30,23185.85,23187.35,23176.9,23178.05,0
2026-06-09T12:10:00+05:30,23176.9,23189.95,23176.5,23187.65,0
2026-06-09T12:15:00+05:30,23186.9,23198.85,23184.65,23198.6,0
2026-06-09T12:20:00+05:30,23197.95,23209.4,23193.65,23198.5,0
2026-06-09T12:25:00+05:30,23197.85,23207.15,23195.15,23205.3,0
2026-06-09T12:30:00+05:30,23205.95,23224.7,23201.45,23219.35,0
2026-06-09T12:35:00+05:30,23218.7,23226.65,23212.35,23217.6,0
2026-06-09T12:40:00+05:30,23216.8,23222.45,23196.75,23207.4,0
2026-06-09T12:45:00+05:30,23207.7,23219.35,23201.9,23203.25,0
2026-06-09T12:50:00+05:30,23203.2,23208.55,23190.45,23199.25,0
2026-06-09T12:55:00+05:30,23197.45,23199.7,23177.5,23181.4,0
2026-06-09T13:00:00+05:30,23181.15,23203.4,23181.15,23193.65,0
2026-06-09T13:05:00+05:30,23192.55,23201.55,23185.1,23187.3,0
2026-06-09T13:10:00+05:30,23186.6,23212.05,23185.7,23208.75,0
2026-06-09T13:15:00+05:30,23208.05,23223.2,23198.9,23203.85,0
2026-06-09T13:20:00+05:30,23202.85,23207.5,23193.9,23200.0,0
2026-06-09T13:25:00+05:30,23199.9,23205.85,23194.25,23204.65,0
2026-06-09T13:30:00+05:30,23203.85,23206.5,23186.8,23200.65,0
2026-06-09T13:35:00+05:30,23200.75,23216.95,23195.05,23215.4,0
2026-06-09T13:40:00+05:30,23216.0,23222.25,23202.05,23218.65,0
2026-06-09T13:45:00+05:30,23218.4,23220.45,23202.1,23206.65,0
2026-06-09T13:50:00+05:30,23206.25,23210.1,23192.05,23192.95,0
2026-06-09T13:55:00+05:30,23192.35,23197.05,23175.3,23189.65,0
2026-06-09T14:00:00+05:30,23188.7,23191.0,23178.45,23187.0,0
2026-06-09T14:05:00+05:30,23186.6,23208.8,23185.9,23208.0,0
2026-06-09T14:10:00+05:30,23207.2,23218.65,23204.3,23206.05,0
2026-06-09T14:15:00+05:30,23207.35,23212.05,23199.7,23206.05,0
2026-06-09T14:20:00+05:30,23205.4,23206.8,23187.3,23195.15,0
2026-06-09T14:25:00+05:30,23195.4,23217.05,23194.9,23216.85,0
2026-06-09T14:30:00+05:30,23214.95,23217.45,23203.0,23216.5,0
2026-06-09T14:35:00+05:30,23216.65,23242.95,23207.55,23241.45,0
2026-06-09T14:40:00+05:30,23241.55,23261.15,23238.15,23251.15,0
2026-06-09T14:45:00+05:30,23251.1,23253.2,23239.45,23241.3,0
2026-06-09T14:50:00+05:30,23240.95,23269.05,23239.7,23267.25,0
2026-06-09T14:55:00+05:30,23266.4,23279.4,23265.9,23274.65,0
2026-06-09T15:00:00+05:30,23272.9,23272.9,23230.5,23237.9,0
2026-06-09T15:05:00+05:30,23239.7,23265.45,23239.7,23263.7,0
2026-06-09T15:10:00+05:30,23262.5,23265.65,23241.3,23244.2,0
2026-06-09T15:15:00+05:30,23242.7,23244.25,23225.05,23231.1,0
2026-06-09T15:20:00+05:30,23230.55,23243.5,23228.8,23239.7,0
2026-06-09T15:25:00+05:30,23240.7,23261.05,23236.7,23257.75,0
